Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.987924 | best_candidate:current
step:201/4768 | loss 5.551909 | train_time:1025.84s | step_avg:5078.42ms
step:202/4768 | loss 5.560957 | train_time:1030.75s | step_avg:5077.58ms
step:203/4768 | loss 5.572700 | train_time:1035.54s | step_avg:5076.18ms
step:204/4768 | loss 5.543231 | train_time:1040.44s | step_avg:5075.33ms
step:205/4768 | loss 5.396227 | train_time:1045.26s | step_avg:5074.08ms
step:206/4768 | loss 5.491006 | train_time:1050.04s | step_avg:5072.65ms
step:207/4768 | loss 5.499077 | train_time:1054.94s | step_avg:5071.83ms
step:208/4768 | loss 5.425110 | train_time:1059.65s | step_avg:5070.07ms
step:209/4768 | loss 5.390509 | train_time:1064.44s | step_avg:5068.75ms
step:210/4768 | loss 5.418455 | train_time:1069.33s | step_avg:5067.90ms
step:211/4768 | loss 5.443568 | train_time:1074.08s | step_avg:5066.42ms
step:212/4768 | loss 5.453616 | train_time:1078.74s | step_avg:5064.53ms
step:213/4768 | loss 5.459470 | train_time:1083.54s | step_avg:5063.26ms
step:214/4768 | loss 5.413649 | train_time:1088.34s | step_avg:5062.06ms
step:215/4768 | loss 5.471910 | train_time:1093.04s | step_avg:5060.38ms
step:216/4768 | loss 5.382524 | train_time:1097.74s | step_avg:5058.73ms
step:217/4768 | loss 5.399035 | train_time:1102.45s | step_avg:5057.11ms
step:218/4768 | loss 5.365807 | train_time:1107.24s | step_avg:5055.91ms
step:219/4768 | loss 5.340821 | train_time:1111.95s | step_avg:5054.31ms
step:220/4768 | loss 5.355946 | train_time:1116.77s | step_avg:5053.28ms
step:221/4768 | loss 5.314210 | train_time:1121.48s | step_avg:5051.70ms
step:222/4768 | loss 5.366165 | train_time:1126.49s | step_avg:5051.54ms
step:223/4768 | loss 5.438576 | train_time:1131.34s | step_avg:5050.64ms
step:224/4768 | loss 5.419957 | train_time:1136.04s | step_avg:5049.08ms
step:225/4768 | loss 5.352765 | train_time:1140.74s | step_avg:5047.53ms
step:226/4768 | loss 5.397494 | train_time:1145.46s | step_avg:5046.08ms
step:227/4768 | loss 5.462561 | train_time:1150.27s | step_avg:5045.05ms
step:228/4768 | loss 5.411040 | train_time:1155.04s | step_avg:5043.85ms
step:229/4768 | loss 5.450819 | train_time:1159.91s | step_avg:5043.07ms
step:230/4768 | loss 5.329762 | train_time:1164.74s | step_avg:5042.18ms
step:231/4768 | loss 5.368621 | train_time:1169.55s | step_avg:5041.15ms
step:232/4768 | loss 5.331423 | train_time:1174.33s | step_avg:5040.04ms
step:233/4768 | loss 5.337529 | train_time:1179.27s | step_avg:5039.64ms
step:234/4768 | loss 5.311873 | train_time:1184.09s | step_avg:5038.67ms
step:235/4768 | loss 5.394987 | train_time:1188.88s | step_avg:5037.62ms
step:236/4768 | loss 5.324398 | train_time:1193.63s | step_avg:5036.41ms
step:237/4768 | loss 5.378406 | train_time:1198.35s | step_avg:5035.07ms
step:238/4768 | loss 5.426080 | train_time:1203.14s | step_avg:5034.06ms
step:239/4768 | loss 5.299233 | train_time:1207.84s | step_avg:5032.68ms
step:240/4768 | loss 5.366554 | train_time:1212.64s | step_avg:5031.70ms
step:241/4768 | loss 5.423035 | train_time:1217.44s | step_avg:5030.73ms
step:242/4768 | loss 5.396524 | train_time:1222.87s | step_avg:5032.39ms
step:243/4768 | loss 5.284022 | train_time:1227.64s | step_avg:5031.33ms
step:244/4768 | loss 5.298541 | train_time:1232.35s | step_avg:5029.98ms
step:245/4768 | loss 5.273154 | train_time:1237.14s | step_avg:5029.01ms
step:246/4768 | loss 5.267356 | train_time:1241.93s | step_avg:5028.08ms
step:247/4768 | loss 5.276208 | train_time:1246.74s | step_avg:5027.18ms
step:248/4768 | loss 5.240033 | train_time:1251.54s | step_avg:5026.27ms
step:249/4768 | loss 5.328224 | train_time:1257.75s | step_avg:5030.98ms
step:250/4768 | loss 5.272127 | train_time:1262.99s | step_avg:5031.83ms
step:251/4768 | loss 5.341586 | train_time:1267.88s | step_avg:5031.27ms
step:252/4768 | loss 5.264210 | train_time:1272.85s | step_avg:5031.02ms
step:253/4768 | loss 5.257010 | train_time:1277.69s | step_avg:5030.26ms
step:254/4768 | loss 5.202390 | train_time:1282.57s | step_avg:5029.67ms
step:255/4768 | loss 5.254127 | train_time:1287.64s | step_avg:5029.84ms
step:256/4768 | val loss 5.259787 | best_candidate:current
step:256/4768 | loss 5.225538 | train_time:1292.67s | step_avg:5029.83ms
step:257/4768 | loss 5.267210 | train_time:1297.48s | step_avg:5028.99ms
step:258/4768 | loss 5.205086 | train_time:1302.27s | step_avg:5028.07ms
step:259/4768 | loss 5.179131 | train_time:1307.08s | step_avg:5027.22ms
step:260/4768 | loss 5.184215 | train_time:1312.02s | step_avg:5026.88ms
step:261/4768 | loss 5.159926 | train_time:1316.87s | step_avg:5026.23ms
step:262/4768 | loss 5.265460 | train_time:1321.89s | step_avg:5026.20ms
step:263/4768 | loss 5.278822 | train_time:1326.66s | step_avg:5025.24ms
step:264/4768 | loss 5.275383 | train_time:1331.59s | step_avg:5024.87ms
step:265/4768 | loss 5.226639 | train_time:1336.28s | step_avg:5023.62ms
step:266/4768 | loss 5.233261 | train_time:1341.81s | step_avg:5025.50ms
step:267/4768 | loss 5.259979 | train_time:1347.02s | step_avg:5026.21ms
step:268/4768 | loss 5.166496 | train_time:1351.87s | step_avg:5025.53ms
step:269/4768 | loss 5.228006 | train_time:1356.67s | step_avg:5024.70ms
step:270/4768 | loss 5.195867 | train_time:1361.41s | step_avg:5023.64ms
step:271/4768 | loss 5.213398 | train_time:1366.50s | step_avg:5023.89ms
step:272/4768 | loss 5.129363 | train_time:1371.48s | step_avg:5023.72ms
step:273/4768 | loss 5.209513 | train_time:1376.27s | step_avg:5022.87ms
step:274/4768 | loss 5.117145 | train_time:1381.29s | step_avg:5022.87ms
step:275/4768 | loss 5.188737 | train_time:1386.17s | step_avg:5022.37ms
step:276/4768 | loss 5.180684 | train_time:1390.92s | step_avg:5021.37ms
step:277/4768 | loss 5.153605 | train_time:1395.77s | step_avg:5020.75ms
step:278/4768 | loss 5.129302 | train_time:1400.57s | step_avg:5019.97ms
step:279/4768 | loss 5.125642 | train_time:1405.37s | step_avg:5019.17ms
step:280/4768 | loss 5.164219 | train_time:1410.26s | step_avg:5018.73ms
